Phase	CrewMember
16S_FCS_Hsap_S1_scWim_360d_Rep1_01-360	Late	S1
16S_FCS_Hsap_S1_scWim_390d_Rep1_01-390	Late	S1
16S_FCS_Hsap_S1_scWim_420d_Rep1_01-420	Late	S1
16S_FCS_Hsap_S1_scWim_450d_Rep1_01-450	Late	S1
16S_FCS_Hsap_S1_scWim_490d_Rep1_01-490	Late	S1
16S_FCS_Hsap_S1_scWim_504d_Rep1_01-504	Late	S1
16S_FCS_Hsap_S1_scWim_520d_Rep1_01-520	Late	S1
16S_FCS_Hsap_S2_scWim_360d_Rep2_02-360	Late	S2
16S_FCS_Hsap_S2_scWim_390d_Rep2_02-390	Late	S2
16S_FCS_Hsap_S2_scWim_420d_Rep2_02-420	Late	S2
16S_FCS_Hsap_S2_scWim_450d_Rep2_02-450	Late	S2
16S_FCS_Hsap_S2_scWim_490d_Rep2_02-490	Late	S2
16S_FCS_Hsap_S2_scWim_504d_Rep2_02-504	Late	S2
16S_FCS_Hsap_S2_scWim_520d_Rep2_02-520	Late	S2
16S_FCS_Hsap_S3_scBem_minus10d_Rep1_03-minus10	Pre-Mission	S3
16S_FCS_Hsap_S3_scWim_360d_Rep3_03-360	Late	S3
16S_FCS_Hsap_S3_scWim_390d_Rep3_03-390	Late	S3
16S_FCS_Hsap_S3_scWim_420d_Rep3_03-420	Late	S3
16S_FCS_Hsap_S3_scWim_450d_Rep3_03-450	Late	S3
16S_FCS_Hsap_S3_scWim_490d_Rep3_03-490	Late	S3
16S_FCS_Hsap_S3_scWim_504d_Rep3_03-504	Late	S3
16S_FCS_Hsap_S3_scWim_520d_Rep3_03-520	Late	S3
16S_FCS_Hsap_S4_scBem_minus10d_Rep2_04-minus10	Pre-Mission	S4
16S_FCS_Hsap_S4_scWim_360d_Rep4_04-360	Late	S4
16S_FCS_Hsap_S4_scWim_390d_Rep4_04-390	Late	S4
16S_FCS_Hsap_S4_scWim_420d_Rep4_04-420	Late	S4
16S_FCS_Hsap_S4_scWim_450d_Rep4_04-450	Late	S4
16S_FCS_Hsap_S4_scWim_490d_Rep4_04-490	Late	S4
16S_FCS_Hsap_S4_scWim_504d_Rep4_04-504	Late	S4
16S_FCS_Hsap_S4_scWim_520d_Rep4_04-520	Late	S4
16S_FCS_Hsap_S5_scBem_minus10d_Rep3_05-minus10	Pre-Mission	S5
16S_FCS_Hsap_S5_scWim_360d_Rep5_05-360	Late	S5
16S_FCS_Hsap_S5_scWim_390d_Rep5_05-390	Late	S5
16S_FCS_Hsap_S5_scWim_420d_Rep5_05-420	Late	S5
16S_FCS_Hsap_S5_scWim_450d_Rep5_05-450	Late	S5
16S_FCS_Hsap_S5_scWim_490d_Rep5_05-490	Late	S5
16S_FCS_Hsap_S5_scWim_504d_Rep5_05-504	Late	S5
16S_FCS_Hsap_S5_scWim_520d_Rep5_05-520	Late	S5
16S_FCS_Hsap_S6_scBem_minus10d_Rep4_06-minus10	Pre-Mission	S6
16S_FCS_Hsap_S6_scWim_360d_Rep6_06-360	Late	S6
16S_FCS_Hsap_S6_scWim_390d_Rep6_06-390	Late	S6
16S_FCS_Hsap_S6_scWim_420d_Rep6_06-420	Late	S6
16S_FCS_Hsap_S6_scWim_450d_Rep6_06-450	Late	S6
16S_FCS_Hsap_S6_scWim_490d_Rep6_06-490	Late	S6
16S_FCS_Hsap_S6_scWim_504d_Rep6_06-504	Late	S6
16S_FCS_Hsap_S6_scWim_520d_Rep6_06-520	Late	S6
