Genus,Coef_Norm
Senegalimassilia,0.010331617414993935
Lachnospira,0.010162663703469832
Barnesiella,0.008065341914475468
Intestinibacter,0.0066376534898158306
Roseburia,0.005714751193471115
Dialister,0.0051615028139170025
Phascolarctobacterium,0.005080206432996706
Catenibacterium,0.0045783348615291595
Colidextribacter,0.004520262264068265
Lachnospiraceae UCG-001,0.004363546755294103
_Eubacterium_ xylanophilum group,0.0041860576483434215
Slackia,0.003465666250622265
Sutterella,0.0029416604300092158
Erysipelatoclostridium,0.002801024730282748
UCG-002,0.002449149093853529
Defluviitaleaceae UCG-011,0.002071385595972813
_Eubacterium_ ruminantium group,0.0020525145964048336
NK4A214 group,0.0019218967074495156
Parabacteroides,0.0018181576588917044
Holdemanella,0.0014805632774453768
Moryella,0.0011768074269497282
Lachnospiraceae UCG-008,0.0006699248812559089
Escherichia-Shigella,0.0006233586140493488
Romboutsia,0.00045565097211959304
