Genus,Total_Importance
Lachnospira,0.5597336771078911
Romboutsia,0.4763821983397457
_Eubacterium_ xylanophilum group,0.47599910920665656
Escherichia-Shigella,0.4752841451583592
UCG-002,0.4723145684387825
Phascolarctobacterium,0.4716898228140369
Slackia,0.4715999435574909
NK4A214 group,0.4705363158271965
Dialister,0.46880724243145644
Moryella,0.46669287531708936
Colidextribacter,0.46364969935724676
Erysipelatoclostridium,0.4610686384428525
_Eubacterium_ ruminantium group,0.4600879370454844
Barnesiella,0.45839600243688317
Defluviitaleaceae UCG-011,0.45569250223338287
Roseburia,0.45562823008577746
Senegalimassilia,0.4548630693206167
Lachnospiraceae UCG-001,0.45279364183452253
Sutterella,0.4507993398402205
Intestinibacter,0.44996821109242513
Lachnospiraceae UCG-008,0.4375569032644506
Parabacteroides,0.43690892469980536
Catenibacterium,0.4263498078906886
Holdemanella,0.42500111029199095
