"Pair","R2","F_stat","p_value","p_adj"
"Pre-Mission vs Early",0.0239145936732121,0.906518999437442,0.403,0.447777777777778
"Pre-Mission vs Mid",0.0139826652898254,0.921761932416531,0.392,0.447777777777778
"Pre-Mission vs Late",0.0270739487025348,1.22440317156984,0.259,0.421428571428571
"Pre-Mission vs Post-Mission",0.0397703555408796,0.704098283255758,0.563,0.563
"Early vs Mid",0.020315524538928,1.9907331437698,0.095,0.3675
"Early vs Late",0.0370577102338871,2.88628747234333,0.034,0.34
"Early vs Post-Mission",0.0213159543035223,1.0454505834321,0.295,0.421428571428571
"Mid vs Late",0.0155008112780359,1.62172156150816,0.147,0.3675
"Mid vs Post-Mission",0.0177368897778922,1.37234475070024,0.204,0.408
"Late vs Post-Mission",0.0283819609957748,1.6066064977215,0.141,0.3675
