"","Phase_Order","Glucose_Trend","Calprotectin_Trend","BodyMass_Trend","LeanMass_Trend","Shannon_mean","Simpson_mean","Sutterella_mean","Bilophila_mean","Faecalibacterium_mean","Bacteroides_mean","Dialister_mean","Akkermansia_mean","Density","Mean_Degree","Modularity"
"Phase_Order",1,0.7,0.7,-0.9,-0.9,0.9,0.9,0.9,0.9,-0.2,0.2,-0.7,-0.1,-0.6,-0.7,0.2
"Glucose_Trend",0.7,1,1,-0.9,-0.9,0.9,0.9,0.6,0.9,-0.7,-0.5,-1,0.6,-0.9,-0.7,0.3
"Calprotectin_Trend",0.7,1,1,-0.9,-0.9,0.9,0.9,0.6,0.9,-0.7,-0.5,-1,0.6,-0.9,-0.7,0.3
"BodyMass_Trend",-0.9,-0.9,-0.9,1,1,-1,-1,-0.7,-1,0.5,0.1,0.9,-0.2,0.7,0.6,-0.1
"LeanMass_Trend",-0.9,-0.9,-0.9,1,1,-1,-1,-0.7,-1,0.5,0.1,0.9,-0.2,0.7,0.6,-0.1
"Shannon_mean",0.9,0.9,0.9,-1,-1,1,1,0.7,1,-0.5,-0.1,-0.9,0.2,-0.7,-0.6,0.1
"Simpson_mean",0.9,0.9,0.9,-1,-1,1,1,0.7,1,-0.5,-0.1,-0.9,0.2,-0.7,-0.6,0.1
"Sutterella_mean",0.9,0.6,0.6,-0.7,-0.7,0.7,0.7,1,0.7,-0.1,0.1,-0.6,0,-0.7,-0.9,0.5
"Bilophila_mean",0.9,0.9,0.9,-1,-1,1,1,0.7,1,-0.5,-0.1,-0.9,0.2,-0.7,-0.6,0.1
"Faecalibacterium_mean",-0.2,-0.7,-0.7,0.5,0.5,-0.5,-0.5,-0.1,-0.5,1,0.8,0.7,-0.6,0.6,0.3,0.2
"Bacteroides_mean",0.2,-0.5,-0.5,0.1,0.1,-0.1,-0.1,0.1,-0.1,0.8,1,0.5,-0.9,0.6,0.3,-0.2
"Dialister_mean",-0.7,-1,-1,0.9,0.9,-0.9,-0.9,-0.6,-0.9,0.7,0.5,1,-0.6,0.9,0.7,-0.3
"Akkermansia_mean",-0.1,0.6,0.6,-0.2,-0.2,0.2,0.2,0,0.2,-0.6,-0.9,-0.6,1,-0.7,-0.4,0.5
"Density",-0.6,-0.9,-0.9,0.7,0.7,-0.7,-0.7,-0.7,-0.7,0.6,0.6,0.9,-0.7,1,0.9,-0.6
"Mean_Degree",-0.7,-0.7,-0.7,0.6,0.6,-0.6,-0.6,-0.9,-0.6,0.3,0.3,0.7,-0.4,0.9,1,-0.7
"Modularity",0.2,0.3,0.3,-0.1,-0.1,0.1,0.1,0.5,0.1,0.2,-0.2,-0.3,0.5,-0.6,-0.7,1
